11302,"Z BLANTONS BARREL","12 PER CASE","375M",60,12,4.50000,4.50000,9900,1,1130,3,1130,11,3,10,93.0,,,"0000","",304.68,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,18.00,90316,,3,1
11303,"Z BLANTON STRATEGIC BRL","6 PER CASE","750M",40,6,4.50000,4.50000,9900,1,1130,3,1130,11,3,10,90.0,,,"0000","",286.76,,,,,,,,,,111,,,,,,,,,,,,5359.16,,3691.07,,1000,,,,,18.00,,,3,1
11305,"BLANTONS SINGLE BRL","6 PER CASE","750M",40,6,4.50000,4.50000,9900,1,1130,3,1130,11,3,10,93.0,,,"0000","080244002039",286.76,,,,1050,,,,,1050,4261,-1,1050,,,-5,1044,1044,37.20,,47970.04,34915.56,194817.26,171460.65,141690.21,123699.46,1000,,,1050,,18.00,50217,1050,3,1
11306,"BLANTONS SINGLE BRL","12 PER CASE","375M",60,12,4.50000,4.50000,9900,1,1130,3,1130,11,3,10,93.0,,,"0000","",304.68,,,,,,,,,,119,,,,,-12,-12,-12,,,,,2844.30,,2011.89,,1000,,,,,18.00,10517,,3,1
11309,"BLANTONS SINGLE BRL","60 PER CASE","50ML",90,60,3.00000,3.00000,9900,1,1130,3,1130,11,3,10,93.0,,,"0000","",282.57,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,18.00,122013,,3,1
11310,"VAN WINKLE 25 YEAR","1 PER CASE","750M",40,1,.75000,.75000,9900,1,1131,3,1131,11,3,10,90.0,,,"0000","",1344.54,,,,14,,,-14,,,,,,,,,,,,,,,,,,,1000,,,,,,40917,,3,1
11312,"VAN WINKLE 10 YR107","3 PER CASE","750M",40,3,2.25000,2.25000,9900,1,1131,3,1131,11,3,10,107.0,,,"0000","",150.06,,,,,,,,,,,,,,,,,,.04,,,,,108.72,,112.12,1000,,,,,18.00,,,3,1
11313,"VAN WINKLE 12 YR 90","3 PER CASE","750M",40,3,2.25000,2.25000,9900,1,1131,3,1131,11,3,10,90.4,,,"0000","",172.47,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,18.00,,,3,1
11314,"VAN WINKLE RYE 13 YR","3 PER CASE","750M",40,3,2.25000,2.25000,9900,1,1131,11,1131,11,11,10,95.6,,,"0000","",295.72,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,18.00,112316,,11,1
11317,"PAPPY WINKLE 15 YR","3 PER CASE","750M",40,3,2.25000,2.25000,9900,1,1131,3,1131,11,3,10,107.0,,,"0000","",250.90,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,18.00,,,3,1
11318,"PAPPY WINKLE 20 YR","3 PER CASE","750M",40,3,2.25000,2.25000,9900,1,1131,3,1131,11,3,10,90.4,,,"0000","",407.77,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,18.00,,,3,1
11319,"PAPPY WINKLE 23 YR","3 PER CASE","750M",40,3,2.25000,2.25000,9900,1,1131,3,1131,11,3,10,95.6,,,"0000","",654.27,,,,,,,,,,,,,,,,,,.01,,,,,208.67,,140.19,1000,,,,,18.00,111715,,3,1
11322,"BOWMAN VODKA","","175L",20,6,10.50000,10.50000,9900,1,1132,23,1132,11,23,10,80.0,,,"0000","080996117500",80.60,,,624,,,,,186,438,2376,720,540,,,66,1326,702,28.02,,4416.50,4153.70,23958.00,28256.42,22532.40,26572.30,100,,,540,186,18.00,42517,540,23,1
11324,"BOWMAN VODKA","","1LTR",30,12,12.00000,12.00000,9900,1,1132,23,1132,11,23,10,80.0,,,"0000","080996110006",94.04,,,132,,,,,108,24,66,156,,,,,156,24,.98,,139.68,129.40,384.14,593.28,355.84,528.36,100,,,,108,18.00,30117,,23,1
11325,"BOWMAN VODKA","","750M",40,12,9.00000,9.00000,9900,1,1132,23,1132,11,23,10,80.0,,,"0000","80996107501",76.11,,,420,,,,,420,,48,444,,,,,444,24,.24,,,,287.67,122.07,216.92,108.46,1100,,,,420,18.00,30216,,23,1
11326,"BOWMAN VODKA","","375M",60,24,9.00000,9.00000,9900,1,1132,23,1132,11,23,10,80.0,,,"0000","3080996103756",68.03,,,480,720,,,-48,840,312,1800,960,,,,48,1008,528,20.40,,815.36,683.93,4704.00,5337.14,3945.75,4471.85,100,,,,840,18.00,40917,,23,1
11327,"BOWMAN VODKA TRVLR","","750T",45,12,9.00000,9.00000,9900,1,1132,23,1132,11,23,10,80.0,,,"0000","80996107525",76.11,,,528,,,,,312,216,1464,948,,,,,948,420,16.80,,1027.98,976.14,7256.79,8377.53,6616.06,7592.20,100,,,,312,18.00,21517,,23,1
11332,"FRIS VODKA","","175L",20,6,10.50000,10.50000,9900,1,1133,23,1133,11,23,10,80.0,,,"0000","",98.48,,,,360,,,,246,114,731,192,,,,,192,192,,,1527.49,1355.84,10340.03,,8694.01,,1000,,,,,18.00,40917,,23,1
11334,"FRIS VODKA","","1LTR",30,12,12.00000,12.00000,9900,1,1133,23,1133,11,23,10,80.0,,,"0000","",111.96,,,142,,,,,60,22,122,175,,,,,175,33,,,214.32,149.60,1141.62,,846.15,,1000,,,,,18.00,21817,,23,1
11335,"FRIS VODKA","","750M",40,12,9.00000,9.00000,9900,1,1133,23,1133,11,23,10,80.0,,,"0000","",120.92,,,,168,,,,156,12,240,108,,,,,108,108,,,98.59,84.03,2071.06,,1680.60,,1000,,,,,18.00,40917,,23,1
11336,"FRIS VODKA CITRUS","","750M",40,12,9.00000,9.00000,9900,1,1133,23,1133,11,23,10,80.0,,,"0000","",120.92,,,61,,,,,61,,,61,,,,,61,,,,,,,,,,1000,,,,,18.00,,,23,1
11337,"FRIS VODKA ORANGE","","750M",40,12,9.00000,9.00000,9900,1,1133,23,1133,11,23,10,80.0,,,"0000","",120.92,,,52,,,,,52,,,52,,,,,52,,,,,,,,,,1000,,,,,18.00,,,23,1
11338,"FRIS VODKA WHIPPED","","750M",40,12,9.00000,9.00000,9900,1,1133,23,1133,11,23,10,80.0,,,"0000","",120.92,,,26,,,,,26,,,26,,,,,26,,,,,,,,,,1000,,,,,18.00,,,23,1
11352,"BOWMAN GIN","","175L",20,6,10.50000,10.50000,9900,1,1135,21,1135,11,21,10,80.0,,,"0000","080996217507",80.60,,,130,,,,,118,12,228,192,,,,4,196,66,3.78,,121.00,113.80,2299.00,3817.44,2162.20,3584.70,100,,,,118,18.00,21517,,21,1
11354,"BOWMAN GIN","","1LTR",30,12,12.00000,12.00000,9900,1,1135,21,1135,11,21,10,80.0,,,"0000","080996210003",94.04,,,96,,,,,70,26,164,140,,,,6,146,50,2.12,,154.32,136.74,967.52,1249.89,862.51,1114.95,100,,,,70,18.00,21517,,21,1
11355,"BOWMAN GIN","","750M",40,12,9.00000,9.00000,9900,1,1135,21,1135,11,21,10,80.0,,,"0000","080996207508",76.11,,,60,,,,,60,,48,60,,,,,60,,1.44,,,,237.36,721.83,216.92,650.76,100,,,,60,18.00,91516,,21,1
11356,"BOWMAN GIN","","375M",60,24,9.00000,9.00000,9900,1,1135,21,1135,11,21,10,80.0,,,"0000","80996203753",68.03,,,48,,,,,48,,48,72,,,,,72,24,,,,,125.44,,105.22,,100,,,,48,18.00,62015,,21,1
11362,"BOWMAN CANADIAN","","175L",20,6,10.50000,10.50000,9900,1,1136,31,1136,11,31,10,80.0,,,"0000","080996617505",85.08,,,90,,,,,18,72,198,90,,,,6,96,6,2.88,,806.64,736.32,2227.22,3240.00,2024.88,2945.30,100,,,,18,18.00,30117,,31,1
11372,"BOWMAN RUM WHITE","","175L",20,6,10.50000,10.50000,9900,1,1137,33,1137,11,33,10,80.0,,,"0000","080996317504",80.60,,,432,,,,,432,,18,432,,,,,432,,.38,,,,201.66,427.23,179.13,378.16,100,,,,432,18.00,71316,,33,1
11374,"BOWMAN RUM WHITE","","1LTR",30,12,12.00000,12.00000,9900,1,1137,33,1137,11,33,10,80.0,,,"0000","080996310000",98.52,,,62,,,,12,50,24,107,95,,,,,95,33,1.28,,150.00,136.92,707.27,907.46,610.55,730.58,100,,,,50,18.00,12517,,33,1
11375,"BOWMAN RUM WHITE","","750M",40,12,9.00000,9.00000,9900,1,1137,33,1137,11,33,10,80.0,,,"0000","080996307505",80.59,,,2,,,,10,12,,,2,,,,,2,,.12,,,,,53.69,,55.66,100,,,,12,18.00,,,33,1
11381,"CANE RUN LIGHT","","100M",85,48,4.80000,4.80000,9900,1,1138,33,1138,11,33,10,80.0,,,"0000","088004020958",71.63,,,743,,,,,743,,240,738,,,,149,887,144,,,,,328.15,,267.35,,1100,,,,96,18.00,42216,,33,1
11382,"CANE RUN LIGHT","","175L",20,6,10.50000,10.50000,9900,1,1138,33,1138,11,33,10,80.0,,,"0000","088004020897",107.50,,,6,72,,,,24,54,159,12,,,,-5,7,1,,,833.67,691.92,2474.47,,2037.33,,1100,,,,12,18.00,40417,,33,1
